sample,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,2 legs,4 legs,5 legs,6 legs,8 legs,tail,domestic,catsize,class
1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,birds
2,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,birds
3,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,birds
4,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,birds
5,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,birds
6,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,birds
7,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,birds
8,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,birds
9,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,birds
10,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,birds
11,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,birds
12,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,birds
13,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,birds
14,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,birds
15,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,birds
16,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,birds
17,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,birds
18,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,birds
19,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,birds
20,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,birds
21,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,crustacean
22,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,crustacean
23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,crustacean
24,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,crustacean
25,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,crustacean
26,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,crustacean
27,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,crustacean
28,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,crustacean
29,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,crustacean
30,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,crustacean
31,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,fish
32,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,fish
33,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,fish
34,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,fish
35,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,fish
36,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,fish
37,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,fish
38,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,fish
39,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,fish
40,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,fish
41,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,fish
42,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,fish
43,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,fish
44,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,insects
45,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,insects
46,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,insects
47,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,insects
48,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,insects
49,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,insects
50,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,insects
51,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,insects
1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,mammals
2,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,mammals
3,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,mammals
4,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,mammals
5,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,mammals
6,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,mammals
7,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,mammals
8,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,mammals
9,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,mammals
10,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,mammals
11,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,mammals
12,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,mammals
13,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,mammals
14,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,mammals
15,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,mammals
16,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,mammals
17,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,mammals
18,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,mammals
19,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,mammals
20,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,mammals
21,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,mammals
22,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,mammals
23,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,mammals
24,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,mammals
25,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,mammals
26,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,mammals
27,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,mammals
28,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,mammals
29,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,mammals
30,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,mammals
31,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,mammals
32,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,mammals
33,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,mammals
34,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,mammals
35,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,mammals
36,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,mammals
37,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,mammals
38,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,mammals
39,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,mammals
40,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,mammals
41,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,mammals
42,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,saurian
43,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,saurian
44,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,saurian
45,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,saurian
46,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,saurian
47,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,toads
48,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,toads
49,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,toads
50,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,toads
